#notes label(help) run me for the dreamfort walkthrough
Welcome to the Dreamfort Walkthrough!
It can be difficult applying a set of blueprints that you did not write yourself. This walkthrough will guide you through the high-level steps of building Dreamfort.
""
"The final fort will have a walled-in area on the surface for livestock, trading, and military. Be sure to bring some blocks with you for the initial set of workshops! One z-level down is the farming level, with related workshops and vents up to the surface for miasma control. The farming level also has a miniature dining hall and dormitory for use until you get the services and apartment levels set up."
""
"Beyond those two, the other layers can be built in any order, at any z-level, according to your preference and the layout peculiarities of your embark site:"
"- The industry level has a compact, but complete set of workshops and stockpiles (minus what is already provided on the farming level)"
"- The services level has dining, hospital, and justice services, including a well system. This level is 4 z-levels deep."
"- The guildhall level has many rooms for building libraries, temples, and guildhalls"
- The suites level has fancy rooms for your nobles
- The apartments level(s) has small but well-furnished bedrooms for your other dwarves
""
"Dreamfort has a central staircase-based design. Choose a tile for your staircase on the surface in a nice, flat area. For all blueprints, the cursor will start on this tile on the z-level where you want to apply the blueprint."
""
"Blueprints that require manual steps (like 'assign animals to pasture') will leave a message telling you so after you apply them. Blueprints will also leave messages with hints when you might want to run ""quickfort orders"" on specific blueprints to start manufacturing needed items."
""
"Directly after embark, apply /surface1 on a flat area on the surface and /industry1 somewhere underground (but not immediately below the surface -- that will be for the farming level). Work your way through the steps for those levels: apply /surface2 when /surface1 is done, /industry2 when /industry1 is done, etc. Once you channel out parts of the surface with /surface3, you can start the farming sequence with /farming1. You can start the services, guildhall, suites, and apartments sequences as your fort needs those levels."
""
"This .csv file is generated from source .xlsx files. If you want to look at how these blueprints are put together, including full lists of their features, it will be easier to look at the .xlsx files than this giant .csv. You can view them online at: https://drive.google.com/drive/folders/1iS90EEVqUkxTeZiiukVj1pLloZqabKuP"
You are welcome to copy those files and make your own modifications!
"#dreamfort.csv is generated with the following command:
  for fname in dreamfort*.xlsx; do xlsx2csv -a -p '' $fname; done | sed 's/,*$//'"
#notes label(surface_readme)
"Sets up a large, protected entrance to your fort in a flat area on the surface."
""
Features:
A starting set of workshops and stockpiles (which you can later remove once you establish your permanent workshops and storage)
Walls and lever-controlled gates for security
Trap-filled hallways for invaders
Livestock grazing area with nestbox zones and beehives
A grid of 1x1 farm plots (meant to be managed with DFHack autofarm)
An extra room near the entrance for a barracks (once you get your military going)
Miasma vents for the farming level that is intended to be built in the layer directly beneath the surface
""
Manual steps you have to take:
Assign grazing livestock to the large pasture and dogs to the pasture over the stairwell (DFHack's autonestbox will manage the nestbox zones)
Connect levers to the gates
""
"All blueprints are managed by the meta blueprints in the ""meta"" sheet. Each stage is meant to be applied after the previous stage is completely finished. For example, you can't build furniture until all the flooring has been constructed."
""
Be sure to choose an embark site that has an area flat enough to use these blueprints!
"#meta label(surface1) start(staircase center)
message(This would be a good time to start digging the industry level.
Once the area is clear, continue with /surface2.) clear an area and set up pastures"
clear_small/surface_clear_small
zones/surface_zones
""
"#meta label(surface2) start(staircase center) message(This would be a good time to queue manager orders for /surface4, /surface5, and /surface6. If you want a consistent color for your walls, remember to set the rock material for the manager orders for blocks.
Once the whole area is clear, continue with /surface3.) set up starting workshops/stockpiles and clear a larger area. if you didn't bring blocks, temporarily turn off the buildings_use_blocks setting so you can use wood or boulders"
build_start/surface_build_start
place_start/surface_place_start
query_start/surface_query_start
clear/surface_clear
pick/surface_pick
""
"#meta label(surface3) start(staircase center) message(Once the channels are dug out and you have around 650 blocks, continue with /surface4. You can also start digging out the sub-surface farming level once the channels are done.) channel to prevent miasma in the sub-surface farming level"
dig/surface_channel
""
"#meta label(surface4) start(staircase center) message(Once floors and walls are built and you have completed the manager orders for /surface5, continue with /surface5.) cover up the holes with flooring and build walls"
build_floors/surface_floors
build_walls/surface_walls
""
"#meta label(surface5) start(staircase center) message(Once you have around 1,050 blocks, continue with /surface6) build gates, furniture, the trade depot, and traps"
build_bridges/surface_gates
build_buildings/surface_buildings
""
"#meta label(surface6) start(staircase center on ground level) message(The surface is secure! If you like, you can build a barracks in the empty entranceway room.) configure hives, build the roof"
query_buildings/surface_query_buildings
build_scaffolding/surface_scaffolding
#<
build_roof/surface_roof
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,h,h,h,,h,h,h,h,h,h,h,h,h,h,h,h,h,h
,,,,,,,,,,,,,,,,,`,`,,,h,h,h,,h,h,h,h,h,h,h,h,h,h,h,h,h,h
,,,,,,,,,,,,,,,,,`,`,,,,,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h
,,,,,,,,,,,,,,,,,`,`,,,,h,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`
,,,,,,,,,,,,,,,,,,`,,,,,,,,`
,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,`,`,`
,,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,`
,,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,`



#build label(surface_floors) start(23; 25) hidden() use the meta blueprints for normal application


,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,Cf,,,,Cf,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,`,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,`,Cf,Cf,Cf,Cf,Cf,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,Cf,Cf,`,`,`,Cf,Cf,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,Cf,`,`,`,Cf,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,Cf,Cf,`,`,`,Cf,Cf,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,Cf,Cf,Cf,Cf,Cf,`,,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,Cf,`,`,`,`,Cf,`,Cf,`,`,`,`,Cf,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,Cf,`,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,`,Cf,`,`,`,`,`,`,`,`,`,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf
,,,,,,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf
,,,,,,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf,Cf
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,,,,,,,,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`
,,,,,,,,,,,,,,,,,,`,Cf,Cf,Cf,Cf,Cf,Cf,Cf,`





#build label(surface_walls) start(23; 25) hidden() use the meta blueprints for normal application


,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cw
,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,,Cw,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,Cw,,,,,,,,,,,,,Cw,,,,,,Cw,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,Cw,,`,`,`,,Cw,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,,Cw,,,,,,Cw,,,,,,,,,,,,,Cw
,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,,Cw,Cw,Cw,Cw,,Cw,,Cw,Cw,Cw,Cw,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,,Cw,Cw,,`,`,`,`,`,,Cw,Cw,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,Cw,,,,,,,,,,,,Cw,,`,`,`,`,`,,Cw,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,Cw,,`,`,`,`,`,,Cw,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,`,`,,,,,,`,`,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,`,`,,,,,,`,`,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,`,`,,,,,,`,`,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,Cw,,,,,,,,Cw,,,,,,,,,,,,Cw
,,,,,,Cw,,,,,,,,,,,,Cw,,,,,,,,Cw,,,,,,,,,,,,Cw
,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,,,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,,,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,`,`,,,,,,,,,,`,`,,,,,,,,`,`,,,,,,,,,,`,`
,,,,,,`,`,,,,,,,,,,`,`,,,,,,,,`,`,,,,,,,,,,`,`
,,,,,,`,`,,,,,,,,,,`,`,,,,,,,,`,`,,,,,,,,,,`,`
,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,,,,,,,,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw,Cw
,,,,,,,,,,,,,,,,,,Cw,,,,,,,,Cw
,,,,,,,,,,,,,,,,,,Cw,`,`,`,`,`,`,`,Cw
,,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,`
,,,,,,,,,,,,,,,,,,,`,`,`,`,`,`,`



#build label(surface_gates) start(23; 25) hidden() use the meta blueprints for normal application


,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,,`,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,`,,,,,,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,,`,`,`,,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,,,,,,`,,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,,`,`,`,`,,`,,`,`,`,`,,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,,`,`,,gw,gw,gw,gw,gw,,`,`,,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,`,,gw,gw,gw,gw,gw,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,gw,gw,gw,gw,gw,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,ga,ga,,,,,,gd,gd,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,ga,ga,,,,,,gd,gd,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,ga,ga,,,,,,gd,gd,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,ga,ga,,,,,,,,,,gd,gd,,,,,,,,ga,ga,,,,,,,,,,gd,gd
,,,,,,ga,ga,,,,,,,,,,gd,gd,,,,,,,,ga,ga,,,,,,,,,,gd,gd
,,,,,,ga,ga,,,,,,,,,,gd,gd,,,,,,,,ga,ga,,,,,,,,,,gd,gd
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,,,,,,,,,,,,,`,,,,,,,,`
,,,,,,,,,,,,,,,,,,`,gw,gw,gw,gw,gw,gw,gw,`
,,,,,,,,,,,,,,,,,,,gw,gw,gw,gw,gw,gw,gw
,,,,,,,,,,,,,,,,,,,gw,gw,gw,gw,gw,gw,gw



#build label(surface_buildings) start(23; 25) hidden() message(Remember to connect the levers to the gates once they are built.) use the meta blueprints for normal application


,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,~h,~h,,,,,,,,,,,,,,,,,,,,,,,,,,,,~h,~h,`
,,,,,,`,~h,~h,,,,,,,,,,,,,,,,,,,,,,,,,,,,~h,~h,`
,,,,,,`,~h,~h,,,,,,,,,,,,,,,,,,,,,,,,,,,,~h,~h,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,`,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,`,Tl,,Tl,,Tl,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,d,,`,`,`,,d,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,,`,`,`,,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,d,,`,`,`,,d,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,Tl,Tl,Tl,Tl,Tl,`,,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,d,`,`,`,`,d,`,d,`,`,`,`,d,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,d,`,`,,,,,,,,`,`,d,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,,,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,,,,,,,,,,,,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc
,,,,,,,,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,,,,,,,,,,,,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc
,,,,,,,,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,,,,,,,,,,,,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc,Tc
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,,,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,,,,,,,,,,,,,`,,,,,,,,`
,,,,,,,,,,,,,,,,Tc,Tc,`,,,,,,,,`,Tc,Tc
,,,,,,,,,,,,,,,,Tc,Tc,,,,,,,,,,Tc,Tc
,,,,,,,,,,,,,,,,Tc,Tc,,,,,,,,,,Tc,Tc
,,,,,,,,,,,,,,,,Tc,Tc,,,,,,,,,,Tc,Tc


#query label(surface_query_buildings) start(23; 25) hidden() use the meta blueprints for normal application


,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,cg,cg,,,,,,,,,,,,,,,,,,,,,,,,,,,,cg,cg,`
,,,,,,`,c,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,c,`
,,,,,,`,cg,cg,,,,,,,,,,,,,,,,,,,,,,,,,,,,cg,cg,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,,`,,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,,`,,,,,,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,,`,`,`,,`,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,,,`,`,`,,,,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,,`,,,,,,`,,,,,,,,,,,,,`
,,,,,,`,`,`,`,`,`,`,`,`,`,,`,`,`,`,,`,,`,`,`,`,,`,`,`,`,`,`,`,`,`,`
,,,,,,`,`,`,`,`,`,`,`,`,`,,`,`,,,,,,,,`,`,,`,`,`,`,`,`,`,`,`,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
,,,,,,`,,,,,,,,,,,,`,,,,,,,,`,,,,,,,,,,,,`
